INFO:__main__:DirectoryContents(name_file='home_work', ext_file='', flag_dir=True, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='hw_task_1', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='lec1', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='task_1', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='task_2', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='task_3', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='task_4', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='task_7', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='home_work', ext_file='', flag_dir=True, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='hw_task_1', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='lec1', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='task_1', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='task_2', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='task_3', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='task_4', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
INFO:__main__:DirectoryContents(name_file='task_7', ext_file='py', flag_dir=False, main_dir='C:/Users/user/PycharmProjects/pythonImSm')
